EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 FG   : Wind speed in 0.1 m/s
30-34 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CORDOBA AEROPUERTO, SPAIN (STAID: 337)
Blended and updated with sources:20051 908410 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   FG, Q_FG
   337, 20051,19600714,-9999,    9
   337, 20051,19600715,-9999,    9
   337, 20051,19600716,-9999,    9
   337, 20051,19600717,-9999,    9
   337, 20051,19600718,-9999,    9
   337, 20051,19600719,-9999,    9
   337, 20051,19600720,-9999,    9
   337, 20051,19600721,-9999,    9
   337, 20051,19600722,-9999,    9
   337, 20051,19600723,-9999,    9
   337, 20051,19600724,-9999,    9
   337, 20051,19600725,-9999,    9
   337, 20051,19600726,-9999,    9
   337, 20051,19600727,-9999,    9
   337, 20051,19600728,-9999,    9
   337, 20051,19600729,-9999,    9
   337, 20051,19600730,-9999,    9
   337, 20051,19600731,-9999,    9
   337, 20051,19600801,-9999,    9
   337, 20051,19600802,-9999,    9
   337, 20051,19600803,-9999,    9
   337, 20051,19600804,-9999,    9
   337, 20051,19600805,-9999,    9
   337, 20051,19600806,-9999,    9
   337, 20051,19600807,-9999,    9
   337, 20051,19600808,-9999,    9
   337, 20051,19600809,-9999,    9
   337, 20051,19600810,-9999,    9
   337, 20051,19600811,-9999,    9
   337, 20051,19600812,-9999,    9
   337, 20051,19600813,-9999,    9
   337, 20051,19600814,-9999,    9
   337, 20051,19600815,-9999,    9
   337, 20051,19600816,-9999,    9
   337, 20051,19600817,-9999,    9
   337, 20051,19600818,-9999,    9
   337, 20051,19600819,-9999,    9
   337, 20051,19600820,-9999,    9
   337, 20051,19600821,-9999,    9
   337, 20051,19600822,-9999,    9
   337, 20051,19600823,-9999,    9
   337, 20051,19600824,-9999,    9
   337, 20051,19600825,-9999,    9
   337, 20051,19600826,-9999,    9
   337, 20051,19600827,-9999,    9
   337, 20051,19600828,-9999,    9
   337, 20051,19600829,-9999,    9
   337, 20051,19600830,-9999,    9
   337, 20051,19600831,-9999,    9
   337, 20051,19600901,-9999,    9
   337, 20051,19600902,-9999,    9
   337, 20051,19600903,-9999,    9
   337, 20051,19600904,-9999,    9
   337, 20051,19600905,-9999,    9
   337, 20051,19600906,-9999,    9
   337, 20051,19600907,-9999,    9
   337, 20051,19600908,-9999,    9
   337, 20051,19600909,-9999,    9
   337, 20051,19600910,-9999,    9
   337, 20051,19600911,-9999,    9
   337, 20051,19600912,-9999,    9
   337, 20051,19600913,-9999,    9
   337, 20051,19600914,-9999,    9
   337, 20051,19600915,-9999,    9
   337, 20051,19600916,-9999,    9
   337, 20051,19600917,-9999,    9
   337, 20051,19600918,-9999,    9
   337, 20051,19600919,-9999,    9
   337, 20051,19600920,-9999,    9
   337, 20051,19600921,-9999,    9
   337, 20051,19600922,-9999,    9
   337, 20051,19600923,-9999,    9
   337, 20051,19600924,-9999,    9
   337, 20051,19600925,-9999,    9
   337, 20051,19600926,-9999,    9
   337, 20051,19600927,-9999,    9
   337, 20051,19600928,-9999,    9
   337, 20051,19600929,-9999,    9
   337, 20051,19600930,-9999,    9
   337, 20051,19601001,-9999,    9
   337, 20051,19601002,-9999,    9
   337, 20051,19601003,-9999,    9
   337, 20051,19601004,-9999,    9
   337, 20051,19601005,-9999,    9
   337, 20051,19601006,-9999,    9
   337, 20051,19601007,-9999,    9
   337, 20051,19601008,-9999,    9
   337, 20051,19601009,-9999,    9
   337, 20051,19601010,-9999,    9
   337, 20051,19601011,-9999,    9
   337, 20051,19601012,-9999,    9
   337, 20051,19601013,-9999,    9
   337, 20051,19601014,-9999,    9
   337, 20051,19601015,-9999,    9
   337, 20051,19601016,-9999,    9
   337, 20051,19601017,-9999,    9
   337, 20051,19601018,-9999,    9
   337, 20051,19601019,-9999,    9
   337, 20051,19601020,-9999,    9
   337, 20051,19601021,-9999,    9
   337, 20051,19601022,-9999,    9
   337, 20051,19601023,-9999,    9
   337, 20051,19601024,-9999,    9
   337, 20051,19601025,-9999,    9
   337, 20051,19601026,-9999,    9
   337, 20051,19601027,-9999,    9
   337, 20051,19601028,-9999,    9
   337, 20051,19601029,-9999,    9
   337, 20051,19601030,-9999,    9
   337, 20051,19601031,-9999,    9
   337, 20051,19601101,-9999,    9
   337, 20051,19601102,-9999,    9
   337, 20051,19601103,-9999,    9
   337, 20051,19601104,-9999,    9
   337, 20051,19601105,-9999,    9
   337, 20051,19601106,-9999,    9
   337, 20051,19601107,-9999,    9
   337, 20051,19601108,-9999,    9
   337, 20051,19601109,-9999,    9
   337, 20051,19601110,-9999,    9
   337, 20051,19601111,-9999,    9
   337, 20051,19601112,-9999,    9
   337, 20051,19601113,-9999,    9
   337, 20051,19601114,-9999,    9
   337, 20051,19601115,-9999,    9
   337, 20051,19601116,-9999,    9
   337, 20051,19601117,-9999,    9
   337, 20051,19601118,-9999,    9
   337, 20051,19601119,-9999,    9
   337, 20051,19601120,-9999,    9
   337, 20051,19601121,-9999,    9
   337, 20051,19601122,-9999,    9
   337, 20051,19601123,-9999,    9
   337, 20051,19601124,-9999,    9
   337, 20051,19601125,-9999,    9
   337, 20051,19601126,-9999,    9
   337, 20051,19601127,-9999,    9
   337, 20051,19601128,-9999,    9
   337, 20051,19601129,-9999,    9
   337, 20051,19601130,-9999,    9
   337, 20051,19601201,-9999,    9
   337, 20051,19601202,-9999,    9
   337, 20051,19601203,-9999,    9
   337, 20051,19601204,-9999,    9
   337, 20051,19601205,-9999,    9
   337, 20051,19601206,-9999,    9
   337, 20051,19601207,-9999,    9
   337, 20051,19601208,-9999,    9
   337, 20051,19601209,-9999,    9
   337, 20051,19601210,-9999,    9
   337, 20051,19601211,-9999,    9
   337, 20051,19601212,-9999,    9
   337, 20051,19601213,-9999,    9
   337, 20051,19601214,-9999,    9
   337, 20051,19601215,-9999,    9
   337, 20051,19601216,-9999,    9
   337, 20051,19601217,-9999,    9
   337, 20051,19601218,-9999,    9
   337, 20051,19601219,-9999,    9
   337, 20051,19601220,-9999,    9
   337, 20051,19601221,-9999,    9
   337, 20051,19601222,-9999,    9
   337, 20051,19601223,-9999,    9
   337, 20051,19601224,-9999,    9
   337, 20051,19601225,-9999,    9
   337, 20051,19601226,-9999,    9
   337, 20051,19601227,-9999,    9
   337, 20051,19601228,-9999,    9
   337, 20051,19601229,-9999,    9
   337, 20051,19601230,-9999,    9
